Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2007	1	22	Edición, artes gráficas y reproducción de soportes grabados	23	Bajo Martín
2007	1	26	Fabricación de otros productos minerales no metálicos	24	Campo de Daroca
2007	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	24	Campo de Daroca
2007	1	75	Administración pública, defensa y seguridad social obligatoria	26	Cuencas Mineras
2007	1	36	Fabricación de muebles; otras industrias manufactureras	31	Sierra de Albarracín
2007	1	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín
2007	1	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2007	1	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	33	Matarraña / Matarranya
2007	1	31	Fabricación de maquinaria y material eléctrico	NC	Municipio del centro de trabajo fuera de Aragón
2006	2876	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2006	277	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	NC	Municipio del centro de trabajo fuera de Aragón
2006	244	74	Otras actividades empresariales	22	Campo de Belchite
2006	208	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud
2006	189	45	Construcción	03	Sobrarbe
2006	189	45	Construcción	21	Campo de Cariñena
2006	144	45	Construcción	20	Comunidad de Calatayud
2006	144	45	Construcción	25	Jiloca
2006	126	45	Construcción	01	La Jacetania
2006	126	45	Construcción	16	Valdejalón
2006	126	45	Construcción	30	Maestrazgo
2006	126	45	Construcción	NC	Municipio del centro de trabajo fuera de Aragón
2006	104	45	Construcción	14	Aranda
2006	104	45	Construcción	28	Bajo Aragón
2006	97	85	Actividades sanitarias y veterinarias, servicio social	17	Central
2006	97	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	27	Andorra-Sierra de Arcos
2006	89	28	Fabricación de productos metálicos, excepto maquinaria y equipo	29	Comunidad de Teruel
2006	87	35	Fabricación de otro material de transporte	12	Tarazona y el Moncayo
2006	87	28	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2006	87	35	Fabricación de otro material de transporte	17	Central
2006	86	34	Fabricación de vehículos de motor, remolques y semirremolques	24	Campo de Daroca
2006	85	45	Construcción	09	La Litera / La Llitera
2006	85	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	85	45	Construcción	32	Gúdar-Javalambre
2006	74	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2006	69	45	Construcción	05	Cinco Villas
2006	63	64	Correos y telecomunicaciones	10	Los Monegros
2006	62	15	Industria de productos alimenticios y bebidas	02	Alto Gállego
2006	62	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	04	La Ribagorza
2006	62	45	Construcción	07	Somontano de Barbastro
2006	62	45	Construcción	15	Ribera Alta del Ebro
2006	59	45	Construcción	22	Campo de Belchite
2006	59	45	Construcción	23	Bajo Martín
2006	59	45	Construcción	33	Matarraña / Matarranya
2006	56	45	Construcción	11	Bajo Cinca / Baix Cinca
2006	56	45	Construcción	12	Tarazona y el Moncayo
2006	56	45	Construcción	31	Sierra de Albarracín
2006	51	45	Construcción	13	Campo de Borja
2006	51	29	Industria de la construción de maquinaria y equipo mecánico	32	Gúdar-Javalambre
2006	43	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón
2006	42	26	Fabricación de otros productos minerales no metálicos	07	Somontano de Barbastro
2006	37	36	Fabricación de muebles; otras industrias manufactureras	20	Comunidad de Calatayud
2006	33	34	Fabricación de vehículos de motor, remolques y semirremolques	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	33	70	Actividades inmobiliarias	33	Matarraña / Matarranya
2006	32	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	05	Cinco Villas
2006	32	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca
2006	31	15	Industria de productos alimenticios y bebidas	23	Bajo Martín
2006	30	95	Hogares que emplean personal doméstico	01	La Jacetania
2006	29	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	14	Aranda
2006	27	45	Construcción	10	Los Monegros
2006	26	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2006	25	25	Fabricacion de productos de caucho y materias plasticas	08	Cinca Medio
2006	25	25	Fabricacion de productos de caucho y materias plasticas	18	Ribera Baja del Ebro
2006	24	26	Fabricación de otros productos minerales no metálicos	09	La Litera / La Llitera
2006	24	26	Fabricación de otros productos minerales no metálicos	14	Aranda
2006	24	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2006	24	45	Construcción	26	Cuencas Mineras
2006	23	60	Transporte terrestre; transporte por tuberías	22	Campo de Belchite
2006	23	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2006	23	60	Transporte terrestre; transporte por tuberías	26	Cuencas Mineras
2006	23	60	Transporte terrestre; transporte por tuberías	27	Andorra-Sierra de Arcos
2006	23	60	Transporte terrestre; transporte por tuberías	28	Bajo Aragón
2006	22	60	Transporte terrestre; transporte por tuberías	12	Tarazona y el Moncayo
2006	22	27	Metalurgia	17	Central
2006	22	29	Industria de la construción de maquinaria y equipo mecánico	25	Jiloca
2006	21	15	Industria de productos alimenticios y bebidas	33	Matarraña / Matarranya
2006	20	28	Fabricación de productos metálicos, excepto maquinaria y equipo	04	La Ribagorza
2006	20	28	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2006	20	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2006	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2006	19	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2006	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	27	Andorra-Sierra de Arcos
2006	18	75	Administración pública, defensa y seguridad social obligatoria	02	Alto Gállego
2006	18	14	Extracción de minerales no metálicos ni energéticos	03	Sobrarbe
2006	17	26	Fabricación de otros productos minerales no metálicos	11	Bajo Cinca / Baix Cinca
2006	17	26	Fabricación de otros productos minerales no metálicos	18	Ribera Baja del Ebro
2006	17	26	Fabricación de otros productos minerales no metálicos	29	Comunidad de Teruel
2006	17	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2006	16	26	Fabricación de otros productos minerales no metálicos	06	Hoya de Huesca / Plana de Uesca
2006	15	45	Construcción	04	La Ribagorza
2006	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	06	Hoya de Huesca / Plana de Uesca
2006	15	45	Construcción	08	Cinca Medio
2006	14	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	23	Bajo Martín
2006	14	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2006	14	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2006	13	75	Administración pública, defensa y seguridad social obligatoria	21	Campo de Cariñena
2006	12	24	Industria química	11	Bajo Cinca / Baix Cinca
2006	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2006	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	24	Campo de Daroca
2006	12	45	Construcción	27	Andorra-Sierra de Arcos
2006	12	40	Producción y distribución de energía eléctrica, gas, vapor y agua caliente	NC	Municipio del centro de trabajo fuera de Aragón
2006	11	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	13	Campo de Borja
2006	11	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	31	Sierra de Albarracín
2006	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón
2006	10	31	Fabricación de maquinaria y material eléctrico	09	La Litera / La Llitera
2006	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	13	Campo de Borja
2006	10	31	Fabricación de maquinaria y material eléctrico	17	Central
2006	10	75	Administración pública, defensa y seguridad social obligatoria	32	Gúdar-Javalambre
2006	9	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	9	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2006	8	85	Actividades sanitarias y veterinarias, servicio social	05	Cinco Villas
2006	8	24	Industria química	13	Campo de Borja
2006	8	55	Hostelería	15	Ribera Alta del Ebro
2006	8	75	Administración pública, defensa y seguridad social obligatoria	18	Ribera Baja del Ebro
2006	8	55	Hostelería	26	Cuencas Mineras
2006	8	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2006	8	75	Administración pública, defensa y seguridad social obligatoria	31	Sierra de Albarracín
2006	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	05	Cinco Villas
2006	7	45	Construcción	24	Campo de Daroca
2006	7	36	Fabricación de muebles; otras industrias manufactureras	26	Cuencas Mineras
2006	7	45	Construcción	29	Comunidad de Teruel
2006	7	60	Transporte terrestre; transporte por tuberías	32	Gúdar-Javalambre
2006	7	60	Transporte terrestre; transporte por tuberías	NC	Municipio del centro de trabajo fuera de Aragón
2006	6	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	04	La Ribagorza
2006	6	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2006	6	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2006	6	29	Industria de la construción de maquinaria y equipo mecánico	31	Sierra de Albarracín
2006	5	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2006	5	15	Industria de productos alimenticios y bebidas	06	Hoya de Huesca / Plana de Uesca
2006	5	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	10	Los Monegros
2006	5	36	Fabricación de muebles; otras industrias manufactureras	13	Campo de Borja
2006	5	28	Fabricación de productos metálicos, excepto maquinaria y equipo	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	5	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena
2006	5	25	Fabricacion de productos de caucho y materias plasticas	21	Campo de Cariñena
2006	4	15	Industria de productos alimenticios y bebidas	03	Sobrarbe
2006	4	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2006	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	07	Somontano de Barbastro
2006	4	26	Fabricación de otros productos minerales no metálicos	08	Cinca Medio
2006	4	28	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2006	4	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2006	4	24	Industria química	29	Comunidad de Teruel
2006	3	55	Hostelería	01	La Jacetania
2006	3	75	Administración pública, defensa y seguridad social obligatoria	03	Sobrarbe
2006	3	55	Hostelería	07	Somontano de Barbastro
2006	3	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	08	Cinca Medio
2006	3	25	Fabricacion de productos de caucho y materias plasticas	09	La Litera / La Llitera
2006	3	25	Fabricacion de productos de caucho y materias plasticas	10	Los Monegros
2006	3	74	Otras actividades empresariales	16	Valdejalón
2006	3	60	Transporte terrestre; transporte por tuberías	30	Maestrazgo
2006	3	31	Fabricación de maquinaria y material eléctrico	NC	Municipio del centro de trabajo fuera de Aragón
2006	2	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2006	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	02	Alto Gállego
2006	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2006	2	80	Educación	05	Cinco Villas
2006	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	07	Somontano de Barbastro
2006	2	28	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2006	2	35	Fabricación de otro material de transporte	15	Ribera Alta del Ebro
2006	2	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2006	2	28	Fabricación de productos metálicos, excepto maquinaria y equipo	22	Campo de Belchite
2006	2	64	Correos y telecomunicaciones	25	Jiloca
2006	2	75	Administración pública, defensa y seguridad social obligatoria	25	Jiloca
2006	2	26	Fabricación de otros productos minerales no metálicos	26	Cuencas Mineras
2006	2	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón
2006	2	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2006	2	74	Otras actividades empresariales	NC	Municipio del centro de trabajo fuera de Aragón
2006	1	92	Actividades recreativas, culturales y deportivas	01	La Jacetania
2006	1	24	Industria química	02	Alto Gállego
2006	1	74	Otras actividades empresariales	02	Alto Gállego
2006	1	60	Transporte terrestre; transporte por tuberías	04	La Ribagorza
2006	1	63	Actividades anexas a los transportes; actividades de agencias de viajes	08	Cinca Medio
2006	1	75	Administración pública, defensa y seguridad social obligatoria	10	Los Monegros
2006	1	34	Fabricación de vehículos de motor, remolques y semirremolques	11	Bajo Cinca / Baix Cinca
2006	1	34	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo
2006	1	14	Extracción de minerales no metálicos ni energéticos	14	Aranda
2006	1	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2006	1	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro
2006	1	64	Correos y telecomunicaciones	16	Valdejalón
2006	1	92	Actividades recreativas, culturales y deportivas	17	Central
2006	1	32	Fabricación de material electrónico; fabricación de equipo y aparatos de radio, televisión y comunicaciones	18	Ribera Baja del Ebro
2006	1	37	Reciclaje	18	Ribera Baja del Ebro
2006	1	25	Fabricacion de productos de caucho y materias plasticas	20	Comunidad de Calatayud
2006	1	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	21	Campo de Cariñena
2006	1	24	Industria química	26	Cuencas Mineras
2006	1	10	Extracción y aglomeración de antracita, hulla, lignito y turba	28	Bajo Aragón
2006	1	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2006	1	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2006	1	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	32	Gúdar-Javalambre
2006	1	28	Fabricación de productos metálicos, excepto maquinaria y equipo	33	Matarraña / Matarranya
2005	2620	45	Construcción	18	Ribera Baja del Ebro
2005	2620	45	Construcción	20	Comunidad de Calatayud
2005	799	28	Fabricación de productos metálicos, excepto maquinaria y equipo	05	Cinco Villas
2005	758	29	Industria de la construción de maquinaria y equipo mecánico	25	Jiloca
2005	595	60	Transporte terrestre; transporte por tuberías	32	Gúdar-Javalambre
2005	372	45	Construcción	03	Sobrarbe
2005	281	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	NC	Municipio del centro de trabajo fuera de Aragón
2005	253	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2005	226	34	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2005	172	45	Construcción	05	Cinco Villas
2005	172	45	Construcción	07	Somontano de Barbastro
2005	159	45	Construcción	14	Aranda
2005	124	45	Construcción	28	Bajo Aragón
2005	117	26	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2005	111	45	Construcción	04	La Ribagorza
2005	109	45	Construcción	25	Jiloca
2005	90	45	Construcción	08	Cinca Medio
2005	90	45	Construcción	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	77	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	02	Alto Gállego
2005	74	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	21	Campo de Cariñena
2005	72	90	Actividades de saneamiento público	20	Comunidad de Calatayud
2005	68	29	Industria de la construción de maquinaria y equipo mecánico	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	68	29	Industria de la construción de maquinaria y equipo mecánico	31	Sierra de Albarracín
2005	56	26	Fabricación de otros productos minerales no metálicos	NC	Municipio del centro de trabajo fuera de Aragón
2005	50	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	18	Ribera Baja del Ebro
2005	50	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	25	Jiloca
2005	48	24	Industria química	11	Bajo Cinca / Baix Cinca
2005	47	45	Construcción	06	Hoya de Huesca / Plana de Uesca
2005	44	45	Construcción	23	Bajo Martín
2005	43	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	13	Campo de Borja
2005	43	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	14	Aranda
2005	43	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	32	Gúdar-Javalambre
2005	40	15	Industria de productos alimenticios y bebidas	29	Comunidad de Teruel
2005	36	26	Fabricación de otros productos minerales no metálicos	01	La Jacetania
2005	36	26	Fabricación de otros productos minerales no metálicos	25	Jiloca
2005	34	45	Construcción	12	Tarazona y el Moncayo
2005	33	45	Construcción	01	La Jacetania
2005	33	45	Construcción	30	Maestrazgo
2005	33	45	Construcción	31	Sierra de Albarracín
2005	30	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	03	Sobrarbe
2005	29	45	Construcción	15	Ribera Alta del Ebro
2005	29	45	Construcción	26	Cuencas Mineras
2005	27	28	Fabricación de productos metálicos, excepto maquinaria y equipo	01	La Jacetania
2005	27	15	Industria de productos alimenticios y bebidas	11	Bajo Cinca / Baix Cinca
2005	27	15	Industria de productos alimenticios y bebidas	24	Campo de Daroca
2005	26	45	Construcción	29	Comunidad de Teruel
2005	26	15	Industria de productos alimenticios y bebidas	32	Gúdar-Javalambre
2005	25	36	Fabricación de muebles; otras industrias manufactureras	26	Cuencas Mineras
2005	24	26	Fabricación de otros productos minerales no metálicos	02	Alto Gállego
2005	24	26	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2005	24	26	Fabricación de otros productos minerales no metálicos	07	Somontano de Barbastro
2005	24	26	Fabricación de otros productos minerales no metálicos	15	Ribera Alta del Ebro
2005	23	45	Construcción	09	La Litera / La Llitera
2005	23	45	Construcción	11	Bajo Cinca / Baix Cinca
2005	23	45	Construcción	27	Andorra-Sierra de Arcos
2005	22	60	Transporte terrestre; transporte por tuberías	08	Cinca Medio
2005	21	60	Transporte terrestre; transporte por tuberías	06	Hoya de Huesca / Plana de Uesca
2005	21	60	Transporte terrestre; transporte por tuberías	13	Campo de Borja
2005	21	15	Industria de productos alimenticios y bebidas	22	Campo de Belchite
2005	20	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2005	19	15	Industria de productos alimenticios y bebidas	10	Los Monegros
2005	19	28	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2005	19	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	18	75	Administración pública, defensa y seguridad social obligatoria	09	La Litera / La Llitera
2005	18	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo
2005	18	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	23	Bajo Martín
2005	17	60	Transporte terrestre; transporte por tuberías	14	Aranda
2005	17	15	Industria de productos alimenticios y bebidas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	17	28	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena
2005	16	55	Hostelería	03	Sobrarbe
2005	15	60	Transporte terrestre; transporte por tuberías	02	Alto Gállego
2005	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	03	Sobrarbe
2005	15	60	Transporte terrestre; transporte por tuberías	07	Somontano de Barbastro
2005	15	60	Transporte terrestre; transporte por tuberías	12	Tarazona y el Moncayo
2005	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	14	Aranda
2005	15	75	Administración pública, defensa y seguridad social obligatoria	18	Ribera Baja del Ebro
2005	15	60	Transporte terrestre; transporte por tuberías	21	Campo de Cariñena
2005	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	22	Campo de Belchite
2005	15	60	Transporte terrestre; transporte por tuberías	23	Bajo Martín
2005	15	60	Transporte terrestre; transporte por tuberías	24	Campo de Daroca
2005	15	25	Fabricacion de productos de caucho y materias plasticas	28	Bajo Aragón
2005	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	30	Maestrazgo
2005	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	33	Matarraña / Matarranya
2005	15	24	Industria química	NC	Municipio del centro de trabajo fuera de Aragón
2005	14	29	Industria de la construción de maquinaria y equipo mecánico	24	Campo de Daroca
2005	13	75	Administración pública, defensa y seguridad social obligatoria	23	Bajo Martín
2005	13	45	Construcción	32	Gúdar-Javalambre
2005	12	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	08	Cinca Medio
2005	12	45	Construcción	13	Campo de Borja
2005	12	45	Construcción	21	Campo de Cariñena
2005	12	45	Construcción	22	Campo de Belchite
2005	12	45	Construcción	24	Campo de Daroca
2005	11	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	02	Alto Gállego
2005	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2005	11	75	Administración pública, defensa y seguridad social obligatoria	30	Maestrazgo
2005	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	33	Matarraña / Matarranya
2005	10	55	Hostelería	01	La Jacetania
2005	10	15	Industria de productos alimenticios y bebidas	15	Ribera Alta del Ebro
2005	10	45	Construcción	16	Valdejalón
2005	10	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	32	Gúdar-Javalambre
2005	9	26	Fabricación de otros productos minerales no metálicos	08	Cinca Medio
2005	9	29	Industria de la construción de maquinaria y equipo mecánico	10	Los Monegros
2005	8	75	Administración pública, defensa y seguridad social obligatoria	04	La Ribagorza
2005	8	15	Industria de productos alimenticios y bebidas	07	Somontano de Barbastro
2005	8	75	Administración pública, defensa y seguridad social obligatoria	16	Valdejalón
2005	7	15	Industria de productos alimenticios y bebidas	06	Hoya de Huesca / Plana de Uesca
2005	7	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca
2005	7	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	10	Los Monegros
2005	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	29	Comunidad de Teruel
2005	7	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	33	Matarraña / Matarranya
2005	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	02	Alto Gállego
2005	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	04	La Ribagorza
2005	6	36	Fabricación de muebles; otras industrias manufactureras	09	La Litera / La Llitera
2005	6	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja
2005	6	75	Administración pública, defensa y seguridad social obligatoria	14	Aranda
2005	6	75	Administración pública, defensa y seguridad social obligatoria	27	Andorra-Sierra de Arcos
2005	6	45	Construcción	33	Matarraña / Matarranya
2005	6	29	Industria de la construción de maquinaria y equipo mecánico	NC	Municipio del centro de trabajo fuera de Aragón
2005	5	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros
2005	5	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2005	5	26	Fabricación de otros productos minerales no metálicos	18	Ribera Baja del Ebro
2005	5	26	Fabricación de otros productos minerales no metálicos	26	Cuencas Mineras
2005	5	34	Fabricación de vehículos de motor, remolques y semirremolques	28	Bajo Aragón
2005	4	55	Hostelería	02	Alto Gállego
2005	4	29	Industria de la construción de maquinaria y equipo mecánico	04	La Ribagorza
2005	4	63	Actividades anexas a los transportes; actividades de agencias de viajes	08	Cinca Medio
2005	4	75	Administración pública, defensa y seguridad social obligatoria	12	Tarazona y el Moncayo
2005	4	63	Actividades anexas a los transportes; actividades de agencias de viajes	17	Central
2005	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2005	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	24	Campo de Daroca
2005	4	24	Industria química	28	Bajo Aragón
2005	4	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	30	Maestrazgo
2005	4	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2005	3	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	10	Los Monegros
2005	3	15	Industria de productos alimenticios y bebidas	16	Valdejalón
2005	3	25	Fabricacion de productos de caucho y materias plasticas	18	Ribera Baja del Ebro
2005	3	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	22	Campo de Belchite
2005	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	03	Sobrarbe
2005	2	15	Industria de productos alimenticios y bebidas	04	La Ribagorza
2005	2	24	Industria química	07	Somontano de Barbastro
2005	2	24	Industria química	08	Cinca Medio
2005	2	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	08	Cinca Medio
2005	2	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	10	Los Monegros
2005	2	75	Administración pública, defensa y seguridad social obligatoria	15	Ribera Alta del Ebro
2005	2	70	Actividades inmobiliarias	16	Valdejalón
2005	2	27	Metalurgia	17	Central
2005	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	20	Comunidad de Calatayud
2005	2	31	Fabricación de maquinaria y material eléctrico	20	Comunidad de Calatayud
2005	2	34	Fabricación de vehículos de motor, remolques y semirremolques	24	Campo de Daroca
2005	2	75	Administración pública, defensa y seguridad social obligatoria	24	Campo de Daroca
2005	2	55	Hostelería	26	Cuencas Mineras
2005	2	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel
2005	2	93	Actividades diversas de servicios personales	29	Comunidad de Teruel
2005	2	60	Transporte terrestre; transporte por tuberías	30	Maestrazgo
2005	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2005	2	63	Actividades anexas a los transportes; actividades de agencias de viajes	NC	Municipio del centro de trabajo fuera de Aragón
2005	1	75	Administración pública, defensa y seguridad social obligatoria	01	La Jacetania
2005	1	36	Fabricación de muebles; otras industrias manufactureras	05	Cinco Villas
2005	1	40	Producción y distribución de energía eléctrica, gas, vapor y agua caliente	05	Cinco Villas
