Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2010	50	Zaragoza	60	Actividades de programación y emisión de radio y televisión	63
2010	50	Zaragoza	61	Telecomunicaciones	108
2010	50	Zaragoza	62	Programación, consultoría y otras actividades relacionadas con la informática	834
2010	50	Zaragoza	63	Servicios de información	101
2010	50	Zaragoza	64	Servicios financieros, excepto seguros y fondos de pensiones	1235
2010	50	Zaragoza	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	140
2010	50	Zaragoza	66	Actividades auxiliares a los servicios financieros y a los seguros	1095
2010	50	Zaragoza	68	Actividades inmobiliarias	10476
2010	50	Zaragoza	69	Actividades jurídicas y de contabilidad	4002
2010	50	Zaragoza	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	3591
2010	50	Zaragoza	72	Investigación y desarrollo	446
2010	50	Zaragoza	73	Publicidad y estudios de mercado	806
2010	50	Zaragoza	74	Otras actividades profesionales, científicas y técnicas	1386
2010	50	Zaragoza	75	Actividades veterinarias	310
2010	50	Zaragoza	77	Actividades de alquiler	1118
2010	50	Zaragoza	78	Actividades relacionadas con el empleo	141
2010	50	Zaragoza	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	288
2010	50	Zaragoza	80	Actividades de seguridad e investigación	88
2010	50	Zaragoza	81	Servicios a edificios y actividades de jardinería	750
2010	50	Zaragoza	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	2766
2010	50	Zaragoza	85	Educación	2121
2010	50	Zaragoza	86	Actividades sanitarias	1845
2010	50	Zaragoza	87	Asistencia en establecimientos residenciales	224
2010	50	Zaragoza	88	Actividades de servicios sociales sin alojamiento	157
2010	50	Zaragoza	90	Actividades de creación, artísticas y espectáculos	942
2010	50	Zaragoza	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	127
2010	50	Zaragoza	92	Actividades de juegos de azar y apuestas	466
2010	50	Zaragoza	93	Actividades deportivas, recreativas y de entretenimiento	635
2010	50	Zaragoza	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1019
2010	50	Zaragoza	96	Otros servicios personales	3551
2011	22	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	3582
2011	22	Huesca	02	Silvicultura y explotación forestal	51
2011	22	Huesca	05	Extracción de antracita, hulla y lignito	9
2011	22	Huesca	06	Extracción de crudo de petróleo y gas natural	2
2011	22	Huesca	08	Otras industrias extractivas	59
2011	22	Huesca	10	Industria de la alimentación	381
2011	22	Huesca	11	Fabricación de bebidas	72
2011	22	Huesca	13	Industria textil	43
2011	22	Huesca	14	Confección de prendas de vestir	59
2011	22	Huesca	15	Industria del cuero y del calzado	14
2011	22	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	180
2011	22	Huesca	17	Industria del papel	11
2011	22	Huesca	18	Artes gráficas y reproducción de soportes grabados	97
2011	22	Huesca	20	Industria química	76
2011	22	Huesca	21	Fabricación de productos farmacéuticos	3
2011	22	Huesca	22	Fabricación de productos de caucho y plásticos	39
2011	22	Huesca	23	Fabricación de otros productos minerales no metálicos	138
2011	22	Huesca	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	8
2011	22	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	527
2011	22	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	15
2011	22	Huesca	27	Fabricación de material y equipo eléctrico	28
2011	22	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	101
2011	22	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	46
2011	22	Huesca	30	Fabricación de otro material de transporte	8
2011	22	Huesca	31	Fabricación de muebles	114
2011	22	Huesca	32	Otras industrias manufactureras	48
2011	22	Huesca	33	Reparación e instalación de maquinaria y equipo	110
2011	22	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	450
2011	22	Huesca	36	Captación, depuración y distribución de agua	24
2011	22	Huesca	37	Recogida y tratamiento de aguas residuales	40
2011	22	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	21
2011	22	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	51
2011	22	Huesca	41	Construcción de edificios	2082
2011	22	Huesca	42	Ingeniería civil	265
2011	22	Huesca	43	Actividades de construcción especializada	3702
2011	22	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	956
2011	22	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	1785
2011	22	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	6873
2011	22	Huesca	49	Transporte terrestre y por tubería	1306
2011	22	Huesca	51	Transporte aéreo	2
2011	22	Huesca	52	Almacenamiento y actividades anexas al transporte	107
2011	22	Huesca	53	Actividades postales y de correos	49
2011	22	Huesca	55	Servicios de alojamiento	977
2011	22	Huesca	56	Servicios de comidas y bebidas	3162
2011	22	Huesca	58	Edición	81
2011	22	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	56
2011	22	Huesca	60	Actividades de programación y emisión de radio y televisión	26
2011	22	Huesca	61	Telecomunicaciones	30
2011	22	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	164
2011	22	Huesca	63	Servicios de información	28
2011	22	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	342
2011	22	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	34
2011	22	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	501
2011	22	Huesca	68	Actividades inmobiliarias	2893
2011	22	Huesca	69	Actividades jurídicas y de contabilidad	668
2011	22	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	936
2011	22	Huesca	72	Investigación y desarrollo	84
2011	22	Huesca	73	Publicidad y estudios de mercado	193
2011	22	Huesca	74	Otras actividades profesionales, científicas y técnicas	353
2011	22	Huesca	75	Actividades veterinarias	107
2011	22	Huesca	77	Actividades de alquiler	446
2011	22	Huesca	78	Actividades relacionadas con el empleo	31
2011	22	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	112
2011	22	Huesca	80	Actividades de seguridad e investigación	18
2011	22	Huesca	81	Servicios a edificios y actividades de jardinería	311
2011	22	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	526
2011	22	Huesca	85	Educación	939
2011	22	Huesca	86	Actividades sanitarias	469
2011	22	Huesca	87	Asistencia en establecimientos residenciales	54
2011	22	Huesca	88	Actividades de servicios sociales sin alojamiento	53
2011	22	Huesca	90	Actividades de creación, artísticas y espectáculos	282
2011	22	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	54
2011	22	Huesca	92	Actividades de juegos de azar y apuestas	144
2011	22	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	291
2011	22	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	293
2011	22	Huesca	96	Otros servicios personales	1015
2011	44	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	1369
2011	44	Teruel	02	Silvicultura y explotación forestal	55
2011	44	Teruel	05	Extracción de antracita, hulla y lignito	16
2011	44	Teruel	08	Otras industrias extractivas	141
2011	44	Teruel	10	Industria de la alimentación	414
2011	44	Teruel	11	Fabricación de bebidas	34
2011	44	Teruel	13	Industria textil	27
2011	44	Teruel	14	Confección de prendas de vestir	33
2011	44	Teruel	15	Industria del cuero y del calzado	7
2011	44	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	176
2011	44	Teruel	17	Industria del papel	10
2011	44	Teruel	18	Artes gráficas y reproducción de soportes grabados	56
2011	44	Teruel	20	Industria química	24
2011	44	Teruel	21	Fabricación de productos farmacéuticos	1
2011	44	Teruel	22	Fabricación de productos de caucho y plásticos	10
2011	44	Teruel	23	Fabricación de otros productos minerales no metálicos	143
2011	44	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	10
2011	44	Teruel	25	Fabricación de productos metálicos, excepto maquinaria y equipo	251
2011	44	Teruel	26	Fabricación de productos informáticos, electrónicos y ópticos	4
2011	44	Teruel	27	Fabricación de material y equipo eléctrico	9
2011	44	Teruel	28	Fabricación de maquinaria y equipo n.c.o.p.	43
2011	44	Teruel	29	Fabricación de vehículos de motor, remolques y semirremolques	21
2011	44	Teruel	30	Fabricación de otro material de transporte	4
2011	44	Teruel	31	Fabricación de muebles	77
2011	44	Teruel	32	Otras industrias manufactureras	21
2011	44	Teruel	33	Reparación e instalación de maquinaria y equipo	32
2011	44	Teruel	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	375
2011	44	Teruel	36	Captación, depuración y distribución de agua	10
2011	44	Teruel	37	Recogida y tratamiento de aguas residuales	37
2011	44	Teruel	38	Recogida, tratamiento y eliminación de residuos; valorización	22
2011	44	Teruel	39	Actividades de descontaminación y otros servicios de gestión de residuos	21
2011	44	Teruel	41	Construcción de edificios	1436
2011	44	Teruel	42	Ingeniería civil	172
2011	44	Teruel	43	Actividades de construcción especializada	2108
2011	44	Teruel	45	Venta y reparación de vehículos de motor y motocicletas	531
2011	44	Teruel	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	766
2011	44	Teruel	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	4062
2011	44	Teruel	49	Transporte terrestre y por tubería	831
2011	44	Teruel	50	Transporte marítimo y por vías navegables interiores	1
2011	44	Teruel	52	Almacenamiento y actividades anexas al transporte	67
2011	44	Teruel	53	Actividades postales y de correos	20
2011	44	Teruel	55	Servicios de alojamiento	515
2011	44	Teruel	56	Servicios de comidas y bebidas	1727
2011	44	Teruel	58	Edición	45
2011	44	Teruel	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	32
2011	44	Teruel	60	Actividades de programación y emisión de radio y televisión	15
2011	44	Teruel	61	Telecomunicaciones	10
2011	44	Teruel	62	Programación, consultoría y otras actividades relacionadas con la informática	74
2011	44	Teruel	63	Servicios de información	14
2011	44	Teruel	64	Servicios financieros, excepto seguros y fondos de pensiones	235
2011	44	Teruel	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	21
2011	44	Teruel	66	Actividades auxiliares a los servicios financieros y a los seguros	265
2011	44	Teruel	68	Actividades inmobiliarias	1176
2011	44	Teruel	69	Actividades jurídicas y de contabilidad	327
2011	44	Teruel	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	469
2011	44	Teruel	72	Investigación y desarrollo	50
2011	44	Teruel	73	Publicidad y estudios de mercado	73
2011	44	Teruel	74	Otras actividades profesionales, científicas y técnicas	144
2011	44	Teruel	75	Actividades veterinarias	60
2011	44	Teruel	77	Actividades de alquiler	219
2011	44	Teruel	78	Actividades relacionadas con el empleo	12
2011	44	Teruel	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	38
2011	44	Teruel	80	Actividades de seguridad e investigación	16
2011	44	Teruel	81	Servicios a edificios y actividades de jardinería	137
2011	44	Teruel	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	276
2011	44	Teruel	85	Educación	356
2011	44	Teruel	86	Actividades sanitarias	224
2011	44	Teruel	87	Asistencia en establecimientos residenciales	36
2011	44	Teruel	88	Actividades de servicios sociales sin alojamiento	30
2011	44	Teruel	90	Actividades de creación, artísticas y espectáculos	153
2011	44	Teruel	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	42
2011	44	Teruel	92	Actividades de juegos de azar y apuestas	69
2011	44	Teruel	93	Actividades deportivas, recreativas y de entretenimiento	138
2011	44	Teruel	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	119
2011	44	Teruel	96	Otros servicios personales	584
2011	50	Zaragoza	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	2782
2011	50	Zaragoza	02	Silvicultura y explotación forestal	48
2011	50	Zaragoza	05	Extracción de antracita, hulla y lignito	28
2011	50	Zaragoza	07	Extracción de minerales metálicos	2
2011	50	Zaragoza	08	Otras industrias extractivas	137
2011	50	Zaragoza	09	Actividades de apoyo a las industrias extractivas	2
2011	50	Zaragoza	10	Industria de la alimentación	764
2011	50	Zaragoza	11	Fabricación de bebidas	157
2011	50	Zaragoza	13	Industria textil	189
2011	50	Zaragoza	14	Confección de prendas de vestir	414
2011	50	Zaragoza	15	Industria del cuero y del calzado	181
2011	50	Zaragoza	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	330
2011	50	Zaragoza	17	Industria del papel	66
2011	50	Zaragoza	18	Artes gráficas y reproducción de soportes grabados	463
2011	50	Zaragoza	20	Industria química	158
2011	50	Zaragoza	21	Fabricación de productos farmacéuticos	22
2011	50	Zaragoza	22	Fabricación de productos de caucho y plásticos	243
2011	50	Zaragoza	23	Fabricación de otros productos minerales no metálicos	286
2011	50	Zaragoza	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	64
2011	50	Zaragoza	25	Fabricación de productos metálicos, excepto maquinaria y equipo	1757
2011	50	Zaragoza	26	Fabricación de productos informáticos, electrónicos y ópticos	140
2011	50	Zaragoza	27	Fabricación de material y equipo eléctrico	207
2011	50	Zaragoza	28	Fabricación de maquinaria y equipo n.c.o.p.	526
2011	50	Zaragoza	29	Fabricación de vehículos de motor, remolques y semirremolques	197
2011	50	Zaragoza	30	Fabricación de otro material de transporte	34
2011	50	Zaragoza	31	Fabricación de muebles	543
2011	50	Zaragoza	32	Otras industrias manufactureras	339
2011	50	Zaragoza	33	Reparación e instalación de maquinaria y equipo	449
2011	50	Zaragoza	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1107
2011	50	Zaragoza	36	Captación, depuración y distribución de agua	33
2011	50	Zaragoza	37	Recogida y tratamiento de aguas residuales	106
2011	50	Zaragoza	38	Recogida, tratamiento y eliminación de residuos; valorización	101
2011	50	Zaragoza	39	Actividades de descontaminación y otros servicios de gestión de residuos	79
2011	50	Zaragoza	41	Construcción de edificios	5518
2011	50	Zaragoza	42	Ingeniería civil	921
2011	50	Zaragoza	43	Actividades de construcción especializada	11394
2011	50	Zaragoza	45	Venta y reparación de vehículos de motor y motocicletas	2462
2011	50	Zaragoza	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	8337
2011	50	Zaragoza	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	20086
2011	50	Zaragoza	49	Transporte terrestre y por tubería	5729
2011	50	Zaragoza	50	Transporte marítimo y por vías navegables interiores	3
2011	50	Zaragoza	51	Transporte aéreo	11
2011	50	Zaragoza	52	Almacenamiento y actividades anexas al transporte	733
2011	50	Zaragoza	53	Actividades postales y de correos	203
2011	50	Zaragoza	55	Servicios de alojamiento	602
2011	50	Zaragoza	56	Servicios de comidas y bebidas	8261
2011	50	Zaragoza	58	Edición	341
2011	50	Zaragoza	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	276
2011	50	Zaragoza	60	Actividades de programación y emisión de radio y televisión	65
2011	50	Zaragoza	61	Telecomunicaciones	132
2011	50	Zaragoza	62	Programación, consultoría y otras actividades relacionadas con la informática	949
2011	50	Zaragoza	63	Servicios de información	107
2011	50	Zaragoza	64	Servicios financieros, excepto seguros y fondos de pensiones	1301
2011	50	Zaragoza	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	141
2011	50	Zaragoza	66	Actividades auxiliares a los servicios financieros y a los seguros	1914
2011	50	Zaragoza	68	Actividades inmobiliarias	11232
2011	50	Zaragoza	69	Actividades jurídicas y de contabilidad	4233
2011	50	Zaragoza	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	3785
2011	50	Zaragoza	72	Investigación y desarrollo	516
2011	50	Zaragoza	73	Publicidad y estudios de mercado	1029
2011	50	Zaragoza	74	Otras actividades profesionales, científicas y técnicas	1564
2011	50	Zaragoza	75	Actividades veterinarias	303
2011	50	Zaragoza	77	Actividades de alquiler	1198
2011	50	Zaragoza	78	Actividades relacionadas con el empleo	156
2011	50	Zaragoza	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	329
2011	50	Zaragoza	80	Actividades de seguridad e investigación	102
2011	50	Zaragoza	81	Servicios a edificios y actividades de jardinería	889
2011	50	Zaragoza	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	3200
2011	50	Zaragoza	85	Educación	2919
2011	50	Zaragoza	86	Actividades sanitarias	2291
2011	50	Zaragoza	87	Asistencia en establecimientos residenciales	286
2011	50	Zaragoza	88	Actividades de servicios sociales sin alojamiento	228
2011	50	Zaragoza	90	Actividades de creación, artísticas y espectáculos	1114
2011	50	Zaragoza	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	181
2011	50	Zaragoza	92	Actividades de juegos de azar y apuestas	515
2011	50	Zaragoza	93	Actividades deportivas, recreativas y de entretenimiento	714
2011	50	Zaragoza	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1078
2011	50	Zaragoza	96	Otros servicios personales	3897
2012	22	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	3566
2012	22	Huesca	02	Silvicultura y explotación forestal	52
2012	22	Huesca	05	Extracción de antracita, hulla y lignito	6
2012	22	Huesca	06	Extracción de crudo de petróleo y gas natural	2
2012	22	Huesca	08	Otras industrias extractivas	54
2012	22	Huesca	10	Industria de la alimentación	377
2012	22	Huesca	11	Fabricación de bebidas	71
2012	22	Huesca	13	Industria textil	34
2012	22	Huesca	14	Confección de prendas de vestir	57
2012	22	Huesca	15	Industria del cuero y del calzado	12
2012	22	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	172
2012	22	Huesca	17	Industria del papel	11
2012	22	Huesca	18	Artes gráficas y reproducción de soportes grabados	92
2012	22	Huesca	20	Industria química	76
2012	22	Huesca	21	Fabricación de productos farmacéuticos	3
2012	22	Huesca	22	Fabricación de productos de caucho y plásticos	36
2012	22	Huesca	23	Fabricación de otros productos minerales no metálicos	123
2012	22	Huesca	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	8
2012	22	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	488
2012	22	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	17
2012	22	Huesca	27	Fabricación de material y equipo eléctrico	25
2012	22	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	93
2012	22	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	45
2012	22	Huesca	30	Fabricación de otro material de transporte	12
2012	22	Huesca	31	Fabricación de muebles	101
2012	22	Huesca	32	Otras industrias manufactureras	50
2012	22	Huesca	33	Reparación e instalación de maquinaria y equipo	100
2012	22	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	450
2012	22	Huesca	36	Captación, depuración y distribución de agua	28
2012	22	Huesca	37	Recogida y tratamiento de aguas residuales	45
2012	22	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	22
2012	22	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	46
2012	22	Huesca	41	Construcción de edificios	1870
2012	22	Huesca	42	Ingeniería civil	250
2012	22	Huesca	43	Actividades de construcción especializada	2960
2012	22	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	942
2012	22	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	1750
2012	22	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	6422
2012	22	Huesca	49	Transporte terrestre y por tubería	1219
2012	22	Huesca	52	Almacenamiento y actividades anexas al transporte	106
2012	22	Huesca	53	Actividades postales y de correos	49
2012	22	Huesca	55	Servicios de alojamiento	910
2012	22	Huesca	56	Servicios de comidas y bebidas	2738
2012	22	Huesca	58	Edición	78
2012	22	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	54
2012	22	Huesca	60	Actividades de programación y emisión de radio y televisión	27
2012	22	Huesca	61	Telecomunicaciones	29
2012	22	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	147
2012	22	Huesca	63	Servicios de información	21
2012	22	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	305
2012	22	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	35
2012	22	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	501
2012	22	Huesca	68	Actividades inmobiliarias	2837
2012	22	Huesca	69	Actividades jurídicas y de contabilidad	691
2012	22	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	864
2012	22	Huesca	72	Investigación y desarrollo	74
2012	22	Huesca	73	Publicidad y estudios de mercado	181
2012	22	Huesca	74	Otras actividades profesionales, científicas y técnicas	276
2012	22	Huesca	75	Actividades veterinarias	96
2012	22	Huesca	77	Actividades de alquiler	431
2012	22	Huesca	78	Actividades relacionadas con el empleo	28
2012	22	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	89
2012	22	Huesca	80	Actividades de seguridad e investigación	23
2012	22	Huesca	81	Servicios a edificios y actividades de jardinería	320
2012	22	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	559
2012	22	Huesca	85	Educación	871
2012	22	Huesca	86	Actividades sanitarias	510
2012	22	Huesca	87	Asistencia en establecimientos residenciales	53
2012	22	Huesca	88	Actividades de servicios sociales sin alojamiento	50
2012	22	Huesca	90	Actividades de creación, artísticas y espectáculos	252
2012	22	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	59
2012	22	Huesca	92	Actividades de juegos de azar y apuestas	140
2012	22	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	274
2012	22	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	290
2012	22	Huesca	96	Otros servicios personales	961
2012	44	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	1314
2012	44	Teruel	02	Silvicultura y explotación forestal	53
2012	44	Teruel	05	Extracción de antracita, hulla y lignito	13
2012	44	Teruel	08	Otras industrias extractivas	132
2012	44	Teruel	10	Industria de la alimentación	395
2012	44	Teruel	11	Fabricación de bebidas	36
2012	44	Teruel	13	Industria textil	24
2012	44	Teruel	14	Confección de prendas de vestir	32
2012	44	Teruel	15	Industria del cuero y del calzado	8
2012	44	Teruel	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	165
2012	44	Teruel	17	Industria del papel	11
2012	44	Teruel	18	Artes gráficas y reproducción de soportes grabados	55
2012	44	Teruel	20	Industria química	32
2012	44	Teruel	21	Fabricación de productos farmacéuticos	2
2012	44	Teruel	22	Fabricación de productos de caucho y plásticos	9
2012	44	Teruel	23	Fabricación de otros productos minerales no metálicos	130
2012	44	Teruel	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	9
2012	44	Teruel	25	Fabricación de productos metálicos, excepto maquinaria y equipo	227
2012	44	Teruel	26	Fabricación de productos informáticos, electrónicos y ópticos	6
2012	44	Teruel	27	Fabricación de material y equipo eléctrico	8
2012	44	Teruel	28	Fabricación de maquinaria y equipo n.c.o.p.	40
2012	44	Teruel	29	Fabricación de vehículos de motor, remolques y semirremolques	20
2012	44	Teruel	30	Fabricación de otro material de transporte	4
2012	44	Teruel	31	Fabricación de muebles	68
2012	44	Teruel	32	Otras industrias manufactureras	23
2012	44	Teruel	33	Reparación e instalación de maquinaria y equipo	31
2012	44	Teruel	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	354
2012	44	Teruel	36	Captación, depuración y distribución de agua	24
2012	44	Teruel	37	Recogida y tratamiento de aguas residuales	37
2012	44	Teruel	38	Recogida, tratamiento y eliminación de residuos; valorización	28
2012	44	Teruel	39	Actividades de descontaminación y otros servicios de gestión de residuos	22
2012	44	Teruel	41	Construcción de edificios	1281
2012	44	Teruel	42	Ingeniería civil	157
2012	44	Teruel	43	Actividades de construcción especializada	1870
2012	44	Teruel	45	Venta y reparación de vehículos de motor y motocicletas	512
2012	44	Teruel	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	775
2012	44	Teruel	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	3804
2012	44	Teruel	49	Transporte terrestre y por tubería	786
2012	44	Teruel	52	Almacenamiento y actividades anexas al transporte	62
2012	44	Teruel	53	Actividades postales y de correos	14
2012	44	Teruel	55	Servicios de alojamiento	487
2012	44	Teruel	56	Servicios de comidas y bebidas	1494
2012	44	Teruel	58	Edición	38
2012	44	Teruel	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	30
2012	44	Teruel	60	Actividades de programación y emisión de radio y televisión	12
2012	44	Teruel	61	Telecomunicaciones	13
2012	44	Teruel	62	Programación, consultoría y otras actividades relacionadas con la informática	75
2012	44	Teruel	63	Servicios de información	12
2012	44	Teruel	64	Servicios financieros, excepto seguros y fondos de pensiones	233
2012	44	Teruel	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	22
2012	44	Teruel	66	Actividades auxiliares a los servicios financieros y a los seguros	263
2012	44	Teruel	68	Actividades inmobiliarias	1167
2012	44	Teruel	69	Actividades jurídicas y de contabilidad	332
2012	44	Teruel	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	426
2012	44	Teruel	72	Investigación y desarrollo	47
2012	44	Teruel	73	Publicidad y estudios de mercado	75
2012	44	Teruel	74	Otras actividades profesionales, científicas y técnicas	111
2012	44	Teruel	75	Actividades veterinarias	50
2012	44	Teruel	77	Actividades de alquiler	202
2012	44	Teruel	78	Actividades relacionadas con el empleo	17
2012	44	Teruel	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	30
2012	44	Teruel	80	Actividades de seguridad e investigación	17
2012	44	Teruel	81	Servicios a edificios y actividades de jardinería	122
2012	44	Teruel	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	272
2012	44	Teruel	85	Educación	373
2012	44	Teruel	86	Actividades sanitarias	249
2012	44	Teruel	87	Asistencia en establecimientos residenciales	31
2012	44	Teruel	88	Actividades de servicios sociales sin alojamiento	32
2012	44	Teruel	90	Actividades de creación, artísticas y espectáculos	124
2012	44	Teruel	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	42
2012	44	Teruel	92	Actividades de juegos de azar y apuestas	64
2012	44	Teruel	93	Actividades deportivas, recreativas y de entretenimiento	123
2012	44	Teruel	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	113
2012	44	Teruel	96	Otros servicios personales	564
2012	50	Zaragoza	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	2745
2012	50	Zaragoza	02	Silvicultura y explotación forestal	44
2012	50	Zaragoza	05	Extracción de antracita, hulla y lignito	22
2012	50	Zaragoza	07	Extracción de minerales metálicos	2
2012	50	Zaragoza	08	Otras industrias extractivas	122
2012	50	Zaragoza	09	Actividades de apoyo a las industrias extractivas	1
2012	50	Zaragoza	10	Industria de la alimentación	723
2012	50	Zaragoza	11	Fabricación de bebidas	159
2012	50	Zaragoza	13	Industria textil	179
2012	50	Zaragoza	14	Confección de prendas de vestir	361
2012	50	Zaragoza	15	Industria del cuero y del calzado	167
2012	50	Zaragoza	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	287
2012	50	Zaragoza	17	Industria del papel	65
2012	50	Zaragoza	18	Artes gráficas y reproducción de soportes grabados	417
2012	50	Zaragoza	20	Industria química	155
2012	50	Zaragoza	21	Fabricación de productos farmacéuticos	26
2012	50	Zaragoza	22	Fabricación de productos de caucho y plásticos	235
2012	50	Zaragoza	23	Fabricación de otros productos minerales no metálicos	259
